simulation,placebo_mean_R
231,0.1726322745299957
232,0.24805052536816385
233,0.21413369495805715
234,0.2155187848890106
235,0.25258224969142024
236,0.22319125985823515
237,0.2412289017330991
238,0.23657136888724334
239,0.22519278313856328
240,0.21413369495805715
241,0.24710623404201607
242,0.17547750095812867
243,0.2721429364946801
244,0.18090957413189795
245,0.2063870751893676
246,0.2407447042042799
247,0.26997112445797156
248,0.19222024405460433
249,0.1977137588007655
250,0.23265607791336165
251,0.20560481361395458
252,0.21792321271233794
253,0.22369465697009905
254,0.21244662400178924
255,0.2629809620469168
256,0.22972955849940865
257,0.19878318997888983
258,0.23934041469028183
259,0.23718780223661798
260,0.22115673467967123
261,0.22507974690105245
262,0.23158664673523732
263,0.2155187848890106
264,0.27588793871218137
265,0.21295002111365305
266,0.1896443320928919
267,0.18164589695453878
268,0.24710623404201607
269,0.2334428000191167
270,0.23668440512475417
271,0.24931752802401744
272,0.21977164474871777
273,0.2143351110446065
274,0.22143559914322042
275,0.21295002111365305
276,0.18040617702003411
277,0.23482788995007015
278,0.20588367807750374
279,0.23265607791336165
280,0.18164589695453878
281,0.2472314695034709
282,0.19222024405460433
283,0.2365143878451935
284,0.2393596142733265
285,0.20512007253351408
286,0.21792321271233794
287,0.195812728089302
288,0.2004702609351578
289,0.19829844889844928
290,0.1667427429971347
291,0.22567698066738248
292,0.26997112445797156
293,0.18090957413189795
294,0.17499275987768814
295,0.24631951193626098
296,0.21417763743369203
297,0.22392578048270975
298,0.2063870751893676
299,0.22754554723875622
300,0.2415122267269903
301,0.21650692308131497
302,0.2708720168601058
303,0.217104156847645
304,0.19687005565296065
305,0.2160347256695207
306,0.1981097755874653
307,0.23159379492159224
308,0.22143559914322042
309,0.21103688678772384
310,0.24524914580618742
311,0.23611837105849373
312,0.2530230482962259
313,0.25942406007925484
314,0.25396733962237367
315,0.19996686382329393
316,0.19593796355075685
317,0.22017574467372183
318,0.22661345513655243
319,0.17499275987768814
320,0.2178786971755585
321,0.23482788995007015
322,0.21010479468552004
323,0.1580568829398864
