asset,horizon,side,split,leaf,rule,signals,mean_R,win_rate,sensitivity,specificity,youden_J
intraday,EOD,LONG,TEST,6,prior_day_return_atr <= 0.5879 AND prior_day_range_atr > 0.7398 AND atr_pct <= 0.009303,79,-0.03797298671142073,0.5949367088607594,0.16376306620209058,0.8672199170124482,0.03098298321453874
intraday,EOD,LONG,TEST,7,prior_day_return_atr <= 0.5879 AND prior_day_range_atr > 0.7398 AND atr_pct > 0.009303,104,-0.06118212982807813,0.5480769230769231,0.1986062717770035,0.8049792531120332,0.0035855248890366287
intraday,EOD,SHORT,TRAIN,4,cpr_width_atr > 0.05243 AND prior_day_return_atr <= 0.2573 AND cpr_width_atr <= 0.1462,181,0.16799916659488762,0.7182320441988951,0.28824833702882485,0.8802816901408451,0.16853002716966992
intraday,EOD,SHORT,TRAIN,5,cpr_width_atr > 0.05243 AND prior_day_return_atr <= 0.2573 AND cpr_width_atr > 0.1462,353,0.007151537059168983,0.5382436260623229,0.4212860310421286,0.6173708920187794,0.038656923060907955
intraday,EOD,SHORT,VALIDATION,4,cpr_width_atr > 0.05243 AND prior_day_return_atr <= 0.2573 AND cpr_width_atr <= 0.1462,132,0.04284592910204858,0.5378787878787878,0.22756410256410256,0.8087774294670846,0.036341532031187285
intraday,EOD,SHORT,VALIDATION,5,cpr_width_atr > 0.05243 AND prior_day_return_atr <= 0.2573 AND cpr_width_atr > 0.1462,254,0.04170514686149051,0.5236220472440944,0.42628205128205127,0.6206896551724138,0.04697170645446502
intraday,EOD,SHORT,TEST,4,cpr_width_atr > 0.05243 AND prior_day_return_atr <= 0.2573 AND cpr_width_atr <= 0.1462,128,0.03433579177908573,0.5390625,0.3108108108108108,0.7773584905660378,0.08816930137684853
intraday,EOD,SHORT,TEST,5,cpr_width_atr > 0.05243 AND prior_day_return_atr <= 0.2573 AND cpr_width_atr > 0.1462,163,-0.08981141217286252,0.4049079754601227,0.2972972972972973,0.6339622641509434,-0.06874043855175938
swing,2session,LONG,TRAIN,1,prior_day_return_atr <= -0.4075,106,0.36231483626446886,0.7641509433962265,0.1588235294117647,0.9456521739130435,0.10447570332480804
swing,2session,LONG,TRAIN,5,prior_day_return_atr > -0.4075 AND prior_day_return_atr > -0.1928 AND prior_day_range_atr <= 0.6009,168,0.24055005054640505,0.6904761904761905,0.22745098039215686,0.8869565217391304,0.11440750213128736
swing,2session,LONG,TRAIN,6,prior_day_return_atr > -0.4075 AND prior_day_return_atr > -0.1928 AND prior_day_range_atr > 0.6009,574,-0.05540628163493324,0.4895470383275261,0.5509803921568628,0.3630434782608696,-0.08597612958226764
swing,2session,LONG,VALIDATION,1,prior_day_return_atr <= -0.4075,88,-0.04408898349121506,0.5227272727272727,0.1050228310502283,0.88,-0.014977168949771746
swing,2session,LONG,VALIDATION,5,prior_day_return_atr > -0.4075 AND prior_day_return_atr > -0.1928 AND prior_day_range_atr <= 0.6009,178,0.007276842614446402,0.5561797752808989,0.22602739726027396,0.7742857142857142,0.00031311154598823165
swing,2session,LONG,VALIDATION,6,prior_day_return_atr > -0.4075 AND prior_day_return_atr > -0.1928 AND prior_day_range_atr > 0.6009,469,0.0905261853354229,0.5522388059701493,0.591324200913242,0.4,-0.008675799086757974
swing,2session,LONG,TEST,1,prior_day_return_atr <= -0.4075,88,-0.2454560221990013,0.5909090909090909,0.1925925925925926,0.8599221789883269,0.05251477158091955
swing,2session,LONG,TEST,5,prior_day_return_atr > -0.4075 AND prior_day_return_atr > -0.1928 AND prior_day_range_atr <= 0.6009,109,0.018308043984539737,0.5321100917431193,0.21481481481481482,0.8015564202334631,0.016371235048277866
swing,2session,LONG,TEST,6,prior_day_return_atr > -0.4075 AND prior_day_return_atr > -0.1928 AND prior_day_range_atr > 0.6009,302,0.01505142673234568,0.5,0.5592592592592592,0.41245136186770426,-0.028289378873036508
swing,2session,SHORT,TRAIN,10,prior_day_return_atr > -0.4211 AND prior_day_range_atr > 0.7193 AND atr_pct > 0.01149,119,0.5157685768202905,0.6974789915966386,0.2144702842377261,0.926530612244898,0.14100089648262415
swing,2session,SHORT,VALIDATION,10,prior_day_return_atr > -0.4211 AND prior_day_range_atr > 0.7193 AND atr_pct > 0.01149,93,0.14776688566814997,0.4946236559139785,0.15436241610738255,0.8588588588588588,0.01322127496624148
swing,2session,SHORT,TEST,10,prior_day_return_atr > -0.4211 AND prior_day_range_atr > 0.7193 AND atr_pct > 0.01149,65,0.16982069376599496,0.6,0.16956521739130434,0.8988326848249028,0.06839790221620712
swing,3session,LONG,TRAIN,1,prior_day_return_atr <= -0.4075,106,0.4540943572554003,0.7547169811320755,0.14925373134328357,0.9400921658986175,0.089345897241901
swing,3session,LONG,TRAIN,4,prior_day_return_atr > -0.4075 AND atr_pct <= 0.01226 AND prior_day_range_atr <= 0.6686,192,0.35996920761581536,0.7447916666666666,0.2667910447761194,0.8870967741935484,0.15388781896966774
swing,3session,LONG,TRAIN,5,prior_day_return_atr > -0.4075 AND atr_pct <= 0.01226 AND prior_day_range_atr > 0.6686,350,-0.07146244210841216,0.5028571428571429,0.3283582089552239,0.5990783410138248,-0.07256345003095133
swing,3session,LONG,VALIDATION,1,prior_day_return_atr <= -0.4075,88,0.0048473813260445945,0.5113636363636364,0.09868421052631579,0.8704819277108434,-0.030833861762840753
swing,3session,LONG,VALIDATION,4,prior_day_return_atr > -0.4075 AND atr_pct <= 0.01226 AND prior_day_range_atr <= 0.6686,120,-0.012376070337226586,0.5583333333333333,0.14692982456140352,0.8403614457831325,-0.01270872965546399
swing,3session,LONG,VALIDATION,5,prior_day_return_atr > -0.4075 AND atr_pct <= 0.01226 AND prior_day_range_atr > 0.6686,197,0.11044194118630023,0.5736040609137056,0.24780701754385964,0.7469879518072289,-0.005205030648911535
swing,3session,LONG,TEST,1,prior_day_return_atr <= -0.4075,88,0.04292148359807741,0.5909090909090909,0.1824561403508772,0.8512396694214877,0.03369580977236497
swing,3session,LONG,TEST,4,prior_day_return_atr > -0.4075 AND atr_pct <= 0.01226 AND prior_day_range_atr <= 0.6686,110,0.054388877275106565,0.5363636363636364,0.20701754385964913,0.7892561983471075,-0.003726257793243426
swing,3session,LONG,TEST,5,prior_day_return_atr > -0.4075 AND atr_pct <= 0.01226 AND prior_day_range_atr > 0.6686,224,-0.033840105415145996,0.47767857142857145,0.37543859649122807,0.5165289256198347,-0.10803247788893722
swing,3session,SHORT,TRAIN,8,atr_pct > 0.01149 AND atr_pct <= 0.01425 AND prior_day_return_atr <= -0.4786,101,0.0007268687550228027,0.48514851485148514,0.12128712871287128,0.8900634249471459,0.011350553660017138
swing,3session,SHORT,TRAIN,9,atr_pct > 0.01149 AND atr_pct <= 0.01425 AND prior_day_return_atr > -0.4786,205,0.4557692300909382,0.6731707317073171,0.3415841584158416,0.8583509513742071,0.1999351097900488
swing,3session,SHORT,VALIDATION,8,atr_pct > 0.01149 AND atr_pct <= 0.01425 AND prior_day_return_atr <= -0.4786,70,-0.16981008371076145,0.4,0.09302325581395349,0.8727272727272727,-0.03424947145877377
swing,3session,SHORT,VALIDATION,9,atr_pct > 0.01149 AND atr_pct <= 0.01425 AND prior_day_return_atr > -0.4786,134,0.0921141962798149,0.5447761194029851,0.2425249169435216,0.8151515151515152,0.0576764320950367
swing,3session,SHORT,TEST,8,atr_pct > 0.01149 AND atr_pct <= 0.01425 AND prior_day_return_atr <= -0.4786,19,0.5871039583767711,0.631578947368421,0.056338028169014086,0.9744525547445255,0.030790582913539533
swing,3session,SHORT,TEST,9,atr_pct > 0.01149 AND atr_pct <= 0.01425 AND prior_day_return_atr > -0.4786,63,-0.04334195079995843,0.3968253968253968,0.11737089201877934,0.8613138686131386,-0.021315239368081995
swing,5session,LONG,TRAIN,3,atr_pct <= 0.009612 AND close_vs_pdh_atr <= 0.06412 AND prior_day_return_atr <= 0.3006,148,1.0009229427085866,0.8378378378378378,0.22545454545454546,0.9428571428571428,0.1683116883116882
swing,5session,LONG,VALIDATION,3,atr_pct <= 0.009612 AND close_vs_pdh_atr <= 0.06412 AND prior_day_return_atr <= 0.3006,50,0.3479149788352905,0.5,0.05707762557077625,0.9285714285714286,-0.014350945857795172
swing,5session,LONG,TEST,3,atr_pct <= 0.009612 AND close_vs_pdh_atr <= 0.06412 AND prior_day_return_atr <= 0.3006,79,0.5001523310059853,0.5443037974683544,0.1575091575091575,0.8554216867469879,0.012930844256145324
swing,5session,SHORT,TRAIN,8,atr_pct > 0.01149 AND atr_pct <= 0.01407 AND cpr_width_atr <= 0.1549,150,0.8120909441159858,0.78,0.2799043062200957,0.9281045751633987,0.20800888138349438
swing,5session,SHORT,VALIDATION,8,atr_pct > 0.01149 AND atr_pct <= 0.01407 AND cpr_width_atr <= 0.1549,102,0.06099609479280638,0.46078431372549017,0.19421487603305784,0.8586118251928021,0.05282670122585986
swing,5session,SHORT,TEST,8,atr_pct > 0.01149 AND atr_pct <= 0.01407 AND cpr_width_atr <= 0.1549,49,-0.03858678639620122,0.3877551020408163,0.0815450643776824,0.8814229249011858,-0.037032010721131825
swing,10session,LONG,TRAIN,5,atr_pct <= 0.009735 AND atr_pct > 0.008589,149,1.3155806551249458,0.825503355704698,0.21847246891651864,0.9361179361179361,0.15459040503445487
swing,10session,LONG,TRAIN,8,atr_pct > 0.009735 AND atr_pct <= 0.0142 AND prior_day_return_atr <= 0.521,311,-0.38065427512775885,0.49517684887459806,0.27353463587921845,0.6142506142506142,-0.11221474987016733
swing,10session,LONG,VALIDATION,5,atr_pct <= 0.009735 AND atr_pct > 0.008589,142,1.0556546052923312,0.6408450704225352,0.19402985074626866,0.8401253918495298,0.034155242595798496
swing,10session,LONG,VALIDATION,8,atr_pct > 0.009735 AND atr_pct <= 0.0142 AND prior_day_return_atr <= 0.521,260,-0.033750515373191965,0.5115384615384615,0.2835820895522388,0.6018808777429467,-0.11453703270481452
swing,10session,LONG,TEST,5,atr_pct <= 0.009735 AND atr_pct > 0.008589,65,0.6040688260112334,0.5846153846153846,0.12179487179487179,0.8714285714285714,-0.0067765567765567525
swing,10session,LONG,TEST,8,atr_pct > 0.009735 AND atr_pct <= 0.0142 AND prior_day_return_atr <= 0.521,128,0.10462448278539792,0.609375,0.25,0.7619047619047619,0.011904761904761862
swing,10session,SHORT,TRAIN,4,atr_pct <= 0.01403 AND atr_pct <= 0.01214 AND intraday_range_atr > 0.4762,376,-0.5006499259610343,0.38563829787234044,0.453125,0.585278276481149,0.03840327648114905
swing,10session,SHORT,TRAIN,7,atr_pct <= 0.01403 AND atr_pct > 0.01214 AND intraday_range_atr > 0.5369,129,0.5926106598384344,0.627906976744186,0.253125,0.9138240574506283,0.16694905745062827
swing,10session,SHORT,VALIDATION,4,atr_pct <= 0.01403 AND atr_pct <= 0.01214 AND intraday_range_atr > 0.4762,217,-0.06215262746640951,0.34101382488479265,0.36633663366336633,0.6666666666666666,0.03300330033003296
swing,10session,SHORT,VALIDATION,7,atr_pct <= 0.01403 AND atr_pct > 0.01214 AND intraday_range_atr > 0.5369,80,-0.7563354060391486,0.3,0.1188118811881188,0.8694638694638694,-0.01172424934801175
swing,10session,SHORT,TEST,4,atr_pct <= 0.01403 AND atr_pct <= 0.01214 AND intraday_range_atr > 0.4762,233,-0.4001340059978488,0.45493562231759654,0.5047619047619047,0.5364963503649635,0.04125825512686809
swing,10session,SHORT,TEST,7,atr_pct <= 0.01403 AND atr_pct > 0.01214 AND intraday_range_atr > 0.5369,38,-0.6460601185771834,0.4473684210526316,0.08095238095238096,0.9233576642335767,0.004310045185957678
